======================================================================
LOG DE ANALISIS LEXICO
======================================================================
Desarrollador      : PaulAlcivar
Archivo analizado  : algoritmo2.rs
Fecha y hora       : 21-06-2026 05:08:07
Total de tokens    : 139
Total de errores   : 0
======================================================================

--- TOKENS RECONOCIDOS ---
LINEA   TOKEN                 VALOR                         
------------------------------------------------------------
5       STRUCT                struct                        
5       IDENTIFICADOR         Persona                       
5       LLAVE_IZQ             {                             
6       IDENTIFICADOR         nombre                        
6       DOS_PUNTOS            :                             
6       TIPO_STRING           String                        
6       COMA                  ,                             
7       IDENTIFICADOR         edad                          
7       DOS_PUNTOS            :                             
7       TIPO_U8               u8                            
7       COMA                  ,                             
8       IDENTIFICADOR         altura                        
8       DOS_PUNTOS            :                             
8       TIPO_F64              f64                           
8       COMA                  ,                             
9       IDENTIFICADOR         activo                        
9       DOS_PUNTOS            :                             
9       TIPO_BOOL             bool                          
9       COMA                  ,                             
10      LLAVE_DER             }                             
12      FN                    fn                            
12      IDENTIFICADOR         main                          
12      PARENTESIS_IZQ        (                             
12      PARENTESIS_DER        )                             
12      LLAVE_IZQ             {                             
13      LET                   let                           
13      IDENTIFICADOR         nombre                        
13      DOS_PUNTOS            :                             
13      TIPO_STRING           String                        
13      ASIGNACION            =                             
13      TIPO_STRING           String                        
13      DOBLE_DOS_PUNTOS      ::                            
13      IDENTIFICADOR         from                          
13      PARENTESIS_IZQ        (                             
13      CADENA                Maria                         
13      PARENTESIS_DER        )                             
13      PUNTO_COMA            ;                             
14      LET                   let                           
14      IDENTIFICADOR         edad                          
14      DOS_PUNTOS            :                             
14      TIPO_U8               u8                            
14      ASIGNACION            =                             
14      NUMERO_ENTERO         25                            
14      PUNTO_COMA            ;                             
15      LET                   let                           
15      IDENTIFICADOR         altura                        
15      DOS_PUNTOS            :                             
15      TIPO_F64              f64                           
15      ASIGNACION            =                             
15      NUMERO_FLOTANTE       1.68                          
15      PUNTO_COMA            ;                             
16      LET                   let                           
16      IDENTIFICADOR         activo                        
16      DOS_PUNTOS            :                             
16      TIPO_BOOL             bool                          
16      ASIGNACION            =                             
16      TRUE                  true                          
16      PUNTO_COMA            ;                             
17      LET                   let                           
17      IDENTIFICADOR         inicial                       
17      DOS_PUNTOS            :                             
17      TIPO_CHAR             char                          
17      ASIGNACION            =                             
17      CARACTER_LITERAL      M                             
17      PUNTO_COMA            ;                             
19      LET                   let                           
19      IDENTIFICADOR         persona                       
19      ASIGNACION            =                             
19      IDENTIFICADOR         Persona                       
19      LLAVE_IZQ             {                             
20      IDENTIFICADOR         nombre                        
20      DOS_PUNTOS            :                             
20      IDENTIFICADOR         nombre                        
20      COMA                  ,                             
21      IDENTIFICADOR         edad                          
21      DOS_PUNTOS            :                             
21      IDENTIFICADOR         edad                          
21      COMA                  ,                             
22      IDENTIFICADOR         altura                        
22      DOS_PUNTOS            :                             
22      IDENTIFICADOR         altura                        
22      COMA                  ,                             
23      IDENTIFICADOR         activo                        
23      DOS_PUNTOS            :                             
23      IDENTIFICADOR         activo                        
23      COMA                  ,                             
24      LLAVE_DER             }                             
24      PUNTO_COMA            ;                             
26      LET                   let                           
26      IDENTIFICADOR         numeros                       
26      DOS_PUNTOS            :                             
26      TIPO_VEC              Vec                           
26      MENOR                 <                             
26      TIPO_I32              i32                           
26      MAYOR                 >                             
26      ASIGNACION            =                             
26      IDENTIFICADOR         vec                           
26      NOT_LOGICO            !                             
26      CORCHETE_IZQ          [                             
26      NUMERO_ENTERO         1                             
26      COMA                  ,                             
26      NUMERO_ENTERO         2                             
26      COMA                  ,                             
26      NUMERO_ENTERO         3                             
26      COMA                  ,                             
26      NUMERO_ENTERO         4                             
26      COMA                  ,                             
26      NUMERO_ENTERO         5                             
26      CORCHETE_DER          ]                             
26      PUNTO_COMA            ;                             
28      FOR                   for                           
28      IDENTIFICADOR         n                             
28      IN                    in                            
28      AMPERSAND             &                             
28      IDENTIFICADOR         numeros                       
28      LLAVE_IZQ             {                             
29      IDENTIFICADOR         println                       
29      NOT_LOGICO            !                             
29      PARENTESIS_IZQ        (                             
29      CADENA                Numero: {}                    
29      COMA                  ,                             
29      IDENTIFICADOR         n                             
29      PARENTESIS_DER        )                             
29      PUNTO_COMA            ;                             
30      LLAVE_DER             }                             
32      LET                   let                           
32      IDENTIFICADOR         opcion                        
32      DOS_PUNTOS            :                             
32      TIPO_OPTION           Option                        
32      MENOR                 <                             
32      TIPO_I32              i32                           
32      MAYOR                 >                             
32      ASIGNACION            =                             
32      IDENTIFICADOR         Some                          
32      PARENTESIS_IZQ        (                             
32      NUMERO_ENTERO         10                            
32      PARENTESIS_DER        )                             
32      PUNTO_COMA            ;                             
33      LLAVE_DER             }                             

--- ERRORES LEXICOS ---
No se encontraron errores lexicos.
